LWLG,-5.93,2.42,7.39,1.92,-24,0,0,-24/62,,1.75-5.3,-14.46,54.0
RAPP,-5.87,19.48,8.49,1.11,-27,0,0,-27/63,buy,16.55-29.74,-13.91,34.0
GAIA,-5.12,4.52,5.53,1.26,-15,-0.01,-0.35,-15/62,buy,2.75-6.53,-31.64,31.0
PPBI,-4.69,24.93,0.54,2.38,-20,0.0,-0.0,-20/63,hold,20.52-30.28,-10.75,18.0
EICB,-4.61,25.03,0.24,0.16,-24,0,0,-24/63,,24.26-25.46,0.1,2.0
INSM,-4.59,69.86,0.41,0.56,-22,-1.22,-1.01,-22/62,buy,21.92-80.53,-4.02,13.0
ACLX,-4.52,79.13,4.13,2.33,-19,-0.25,-0.98,-19/63,buy,47.88-107.37,-10.22,26.0
TW,-4.42,134.43,1.56,0.92,-23,-0.05,-0.08,-23/62,buy,91.19-141.687,-0.42,5.0
KRP,-4.4,16.45,2.8,0.58,-25,-0.08,-0.37,-25/63,buy,14.261-17.07,2.74,4.0
ALHC,-4.38,11.7,0.27,5.22,-23,-0.01,-0.1,-23/63,buy,4.46-14.25,-2.14,18.0
OBT,-4.29,54.19,7.52,1.13,-22,-0.86,-0.57,-22/63,strongBuy,41.0-66.11,-8.03,18.0
CRVS,-4.2,5.83,21.58,10.07,-13,-0.84,-7.24,-13/62,buy,1.3-10.0,-41.34,42.0
NFG,-4.09,61.35,1.41,0.89,-21,-0.04,-0.06,-21/63,hold,45.32-65.06,0.33,6.0
ETNB,-4.01,7.96,0.98,7.93,-21,-0.69,-1.05,-21/63,buy,6.43-16.63,-0.25,52.0
XPOF,-4.0,15.26,0.18,12.03,-22,-0.62,-2.26,-22/63,buy,7.4-18.95,-0.59,19.0
VTS,-3.97,25.88,2.28,1.75,-19,-0.06,-0.22,-19/63,buy,19.63-28.405,-5.34,9.0
EBC,-3.93,17.21,0.84,4.15,-18,-0.08,-0.24,-18/63,strongBuy,12.22-19.395,-6.05,11.0
TCBI,-3.92,77.25,1.16,4.03,-17,-3.33,-3.75,-17/62,hold,54.68-91.8,-8.61,16.0
MKTW,-3.84,0.57,3.0,0.81,-22,-0.07,-0.19,-22/63,hold,0.461-2.71,5.1,79.0
BGB,-3.84,12.18,1.21,0.05,-19,0,0,-19/63,,11.26-12.69,-0.98,4.0
AC,-3.82,35.18,2.48,2.43,-17,0,0,-17/63,,28.58-43.848,-2.98,20.0
BMRC,-3.8,23.52,1.28,8.93,-18,-1.75,-9.83,-18/62,buy,14.11-27.11,-8.63,13.0
AM,-3.8,15.56,2.04,0.33,-20,-0.11,-0.39,-20/63,hold,11.58-16.0,0.84,3.0
DB,-3.7,17.49,1.76,0.54,-20,0,0,-20/63,strongSell,12.43-18.07,4.12,3.0
MLNK,-3.6,20.31,1.34,0.38,-14,-0.27,-7.55,-14/62,hold,16.49-25.33,-8.62,20.0
CERT,-3.6,11.21,2.69,1.52,-24,-0.01,-0.14,-24/63,hold,9.41-19.87,14.81,44.0
ALG,-3.58,182.04,0.5,2.42,-16,-0.71,-0.26,-16/62,buy,163.74-231.4,-5.33,21.0
LSH,-3.56,2.54,10.1,1.02,-22,0,0,-22/62,,2.1-5.37,3.94,53.0
SIRI,-3.55,22.36,4.05,1.38,-12,-9.43,-12.78,-12/63,hold,20.47-55.5,-12.75,60.0
HPK,-3.55,15.41,8.98,2.05,-23,-0.13,-0.39,-23/63,strongBuy,12.47-17.48,2.4,12.0
ARDC,-3.55,15.19,1.96,0.32,-18,0,0,-18/63,,13.36-15.62,0.26,3.0
SAFT,-3.54,82.46,0.37,2.22,-24,0.06,-0.01,-24/62,,71.99-90.0,-1.46,8.0
MGNX,-3.53,3.46,21.72,0.78,-27,0.0,-0.02,-27/63,hold,2.951-21.88,5.2,84.0
GEOS,-3.51,10.11,12.04,0.24,-12,0,0,-12/62,,8.09-17.09,-22.95,41.0
IVZ,-3.51,17.75,1.7,0.79,-18,-0.44,-1.13,-18/62,hold,14.16-18.94,1.92,6.0
NR,-3.49,7.74,2.05,4.87,-21,-0.01,-0.36,-21/63,strongBuy,5.6101-8.65,4.39,11.0
CNA,-3.48,47.81,3.64,1.3,-17,-0.35,-0.28,-17/62,hold,41.64-52.36,-2.18,9.0
HSIC,-3.48,69.09,1.63,0.34,-14,-0.23,-0.28,-14/62,hold,63.67-82.63,-6.72,16.0
KE,-3.45,18.61,4.7,3.59,-18,-0.14,-0.37,-18/63,buy,16.64-25.71,-2.69,28.000000000000004
SAND,-3.45,5.7,5.11,0.01,-18,-0.03,-3.28,-18/62,strongBuy,3.96-6.5,0.35,12.0
DENN,-3.42,6.41,4.78,4.26,-19,-0.25,-1.67,-19/62,buy,5.37-11.16,2.18,43.0
CRNX,-3.38,53.15,10.36,1.04,-17,-0.13,-0.14,-17/63,buy,33.8-62.53,-5.49,15.0
NCDL,-3.36,16.85,3.47,0.57,-18,-0.02,-0.02,-18/63,hold,16.0-18.1,1.85,7.000000000000001
