MNST,-1.59,52.51,2.84,0.1,-9,-0.1,-0.22,-9/64,hold,43.32-61.23,-6.68,14.000000000000002
IBM,-1.21,224.41,2.01,0.82,-8,-1.29,-0.58,-8/64,hold,157.89-239.35,6.04,6.0
FDX,-0.76,271.84,3.93,1.24,2,-2.39,-0.56,2/64,buy,234.45-313.84,-5.68,13.0
KMI,-0.54,27.33,1.12,10.73,3,-0.01,-0.07,3/64,hold,16.47-28.81,0.55,5.0
NDAQ,-0.36,78.92,2.0,3.27,7,-0.14,-0.33,7/64,strongBuy,54.9-83.77,-0.27,6.0
MAR,-0.22,286.39,5.55,7.2,5,-0.29,-0.14,5/64,hold,204.55-295.45,0.13,3.0
LB,0.71,60.96,25.9,19.89,4,0,0,4/64,buy,18.75-80.816,-14.91,25.0
JD,0.87,36.46,9.49,6.66,-28,11.29,2.12,-28/64,buy,20.82-47.82,0.99,24.0
TSLA,1.04,462.28,3.32,30.87,3,-0.04,-0.11,3/64,hold,138.8-488.54,28.94,5.0
SIDU,1.36,4.49,1.14,140.2,-28,0,0,-28/64,,1.15-18.85,49.89,76.0
FLOW,1.46,31.73,2.13,0.35,-10,1,1,-10/64,,27.58-34.055,-3.75,7.000000000000001
MSTR,1.47,358.18,19.65,46.61,4,-5.38,-213.31,4/64,buy,43.874-543.0,0.44,34.0
GS,1.61,582.79,0.76,7.92,-10,1.68,0.24,-10/64,buy,372.07-612.73,-1.18,5.0
FLTR,1.67,25.53,1.18,0.15,-8,1,1,-8/64,,25.0-25.54,0.27,0.0
IWB,1.68,330.52,0.45,2.73,-8,1,1,-8/64,,257.07-336.18,0.83,2.0
META,1.94,607.75,4.2,2.82,-9,2.99,0.61,-9/64,buy,340.01-638.4,3.77,5.0
JPM,1.96,242.31,0.27,6.82,-5,4.02,0.9,-5/64,strongBuy,164.3-254.31,1.13,5.0
GM,1.97,53.51,3.96,7.52,-4,2.17,0.96,-4/64,buy,34.32-61.24,-7.29,13.0
NVDA,2.13,140.22,10.7,6.78,-8,0.37,0.61,-8/64,buy,47.32-152.89,-5.76,8.0
MSCI,2.16,607.91,4.16,3.99,-4,0.39,0.11,-4/64,hold,439.95-642.45,0.87,5.0
PLNT,2.18,101.06,1.51,10.04,-7,0.11,0.19,-7/64,buy,54.35-102.9,6.3,2.0
RUM,2.22,12.68,8.59,70.46,6,0.0,-0.07,6/64,hold,3.33-15.27,46.14,17.0
SHOP,2.29,110.18,2.22,16.67,-5,0.06,0.29,-5/64,buy,48.56-120.72,1.14,9.0
QQQ,2.32,529.96,1.87,4.07,-1,1,1,-1/64,,395.34-539.15,3.22,2.0
BLK,2.36,1054.83,3.54,5.78,-2,1.55,0.15,-2/64,buy,745.55-1082.45,2.24,3.0
QYLD,2.52,18.78,1.64,2.08,4,1,1,4/64,,15.91-18.79,1.22,0.0
OKTA,2.53,83.19,8.34,5.84,-6,0.2,0.32,-6/64,hold,70.56-114.5,5.97,27.0
GOOG,2.57,197.57,7.01,9.42,-6,0.32,0.17,-6/64,buy,131.55-202.88,7.32,3.0
MA,2.57,535.71,4.81,4.44,1,0.22,0.06,1/64,buy,416.53-537.13,1.22,0.0
GOOGL,2.58,196.11,8.15,9.42,-7,1.4,0.85,-7/64,buy,130.67-201.42,7.39,3.0
SONO,2.65,14.78,16.32,8.17,4,-0.13,0.73,4/64,buy,10.23-19.76,4.87,25.0
WFC,2.67,71.59,1.58,14.3,4,0.17,0.14,4/64,hold,46.12-78.13,-1.41,8.0
PVH,2.89,108.62,9.14,6.05,-1,1.99,0.85,-1/64,buy,89.56-141.15,5.43,23.0
WMT,2.92,92.68,3.27,6.23,3,0.21,0.41,3/64,buy,51.86667-96.18,8.3,4.0
SQ,2.95,91.08,2.4,15.22,4,0.74,2.44,4/64,buy,55.0-99.26,4.21,8.0
PYPL,2.96,88.25,5.02,5.58,6,0.33,0.33,6/64,hold,55.77-93.66,2.1,6.0
AMZN,3.06,229.05,6.61,8.34,1,1.35,1.33,1/64,buy,144.05-233.0,8.79,2.0
BBAI,3.23,3.73,18.87,51.93,8,-0.48,-8.28,8/64,buy,1.165-4.795,51.21,22.0
SPOT,3.24,461.64,3.93,9.24,6,0.82,1.35,6/64,buy,185.37-506.473,9.15,9.0
ETH,3.28,33.04,10.48,16.34,-1,1,1,-1/64,,2.38-38.775,5.87,15.0
JEPQ,3.31,58.15,2.98,2.85,14,1,1,14/64,,47.671-58.15,2.6,-0.0
COIN,3.37,279.62,19.19,28.79,-2,4.78,3.27,-2/64,hold,114.51-349.75,-14.13,20.0
CCL,3.44,25.79,7.05,16.77,7,0.68,15.02,7/64,buy,13.78-27.17,4.65,5.0
V,3.57,320.65,4.92,7.73,14,0.16,0.07,14/64,buy,252.7-321.62,3.37,0.0
ETH=F,3.73,3507.5,12.92,15.51,4,1,1,4/64,,2081.0-4142.5,5.56,15.0
AI,3.78,35.71,7.94,22.47,1,0.65,2.31,1/64,hold,18.85-45.08,22.18,21.0
AAPL,3.86,258.2,8.51,6.21,11,0.23,0.17,11/64,buy,164.08-258.21,13.16,0.0
NFLX,3.88,932.12,3.95,12.53,14,2.3,0.49,14/64,buy,461.86-941.75,12.08,1.0
ZM,3.91,85.67,10.38,11.04,15,0.24,0.2,15/64,hold,55.06-92.8,-0.76,8.0
GRRR,4.52,13.68,23.9,66.44,3,0,0,3/64,buy,2.09-14.72,68.35,7.000000000000001
HNST,4.55,6.88,7.3,34.08,2,0.12,2.45,2/64,buy,2.4-8.97,30.23,23.0
BTC,4.72,43.85,17.57,22.24,11,1,1,11/64,,5.25-48.07,9.24,9.0
STAN.L,4.83,990.8,12.09,10.78,25,0.25,0.75,25/66,hold,571.0-1010.0,4.62,2.0
SOFI,5.97,16.02,22.89,35.59,20,0.08,10.76,20/64,hold,6.01-17.19,13.73,7.000000000000001
RCAT,6.23,11.89,53.25,88.46,2,-0.28,-3.65,2/64,buy,0.563-13.89,66.61,14.000000000000002
PLTR,6.73,82.38,20.37,41.76,27,0.08,1.63,27/64,hold,15.664-84.795,27.35,3.0
IONQ,6.95,44.58,44.87,91.88,26,-0.26,-3.11,26/64,buy,6.22-47.41,48.38,6.0
