CRVS,-3.16,5.75,17.61,6.01,-14,-0.43,-3.61,-14/63,buy,1.3-10.0,-55.65,43.0
ASTS,-3.13,23.0,0.03,1.75,-30,-1.19,-5.76,-30/63,buy,1.97-39.08,-4.78,41.0
DOGZ,-2.46,39.36,7.48,19.1,-15,0,0,-15/63,,2.902-58.5,-21.88,33.0
INLX,-2.02,13.75,4.25,1.66,-13,-0.12,-10.5,-13/63,strongBuy,4.99-16.5,-11.56,17.0
AVPT,-1.46,16.42,2.21,15.15,-8,-0.03,-1.35,-8/63,buy,7.08-19.161,-13.09,14.000000000000002
CMPO,-1.25,14.7,9.32,2.81,-5,-0.01,-0.02,-5/63,buy,4.61-17.03,-9.12,14.000000000000002
PRAX,-0.86,77.52,7.57,10.61,-7,-0.22,-0.16,-7/63,buy,31.26-86.93,3.9,11.0
WAVE,-0.61,9.9,9.51,48.78,-10,0,0,-10/63,,1.01-17.63,-1.92,44.0
EUDA,-0.6,4.55,22.1,12.95,-9,0,0,-9/63,strongBuy,1.2-6.3,0.44,28.000000000000004
IPX,-0.24,33.75,2.14,20.65,-5,0,0,-5/63,buy,9.5-38.93,14.4,13.0
TECX,-0.12,46.57,14.15,20.61,1,0,0,1/63,buy,1.4-53.41,-3.29,13.0
LB,-0.02,72.48,21.81,25.52,-1,0,0,-1/63,buy,18.75-80.816,-6.72,10.0
WLFC,0.0,214.16,33.51,18.42,-9,-0.07,-0.33,-9/63,,45.32-235.43,3.22,9.0
KINS,0.25,14.77,15.13,29.11,3,0,0,3/63,buy,2.21-18.08,-2.57,18.0
GEV,0.53,368.52,19.44,17.36,5,-0.26,-1.17,5/63,buy,119.0-376.295,5.32,2.0
CVNA,0.7,198.35,5.78,4.01,-9,1.34,6.93,-9/63,hold,40.209-268.339,-30.76,26.0
OXBR,0.84,3.97,1.82,29.0,7,0,0,7/63,,0.87-4.96,23.24,20.0
NN,0.85,13.64,30.19,30.1,11,-0.03,-0.18,11/63,buy,3.55-18.538,-16.39,26.0
TATT,0.9,26.33,5.64,22.82,11,0,0,11/63,buy,10.51-28.4,15.57,7.000000000000001
GGAL,0.95,72.22,1.97,25.27,10,0,0,10/63,buy,15.32-74.0,23.18,2.0
NEOV,1.05,4.58,51.99,25.48,5,-0.01,-0.5,5/63,strongBuy,0.627-6.109,-26.64,25.0
AIOT,1.17,6.19,10.15,13.12,-17,0.04,2.1,-17/63,buy,2.85-7.38,-14.86,16.0
KEQU,1.21,61.11,4.23,33.87,5,-0.68,-1.28,5/63,,27.0-67.2,28.49,9.0
GDDY,1.21,195.57,10.83,10.02,8,0.01,-0.0,8/63,hold,102.595-211.11,-0.4,7.000000000000001
CRS,1.23,181.13,2.36,6.71,-15,0.46,0.3,-15/63,buy,58.87-198.24,-5.43,9.0
CLMB,1.29,124.59,1.8,10.11,-11,1.05,1.55,-11/63,strongBuy,48.71-142.5,-12.27,13.0
FTAI,1.41,159.91,5.83,6.03,-12,0.41,0.87,-12/63,buy,46.2-177.18,-8.63,10.0
HWM,1.44,111.66,6.98,4.65,-13,0.13,0.2,-13/63,buy,53.18-120.71,-6.07,7.000000000000001
BMA,1.46,115.85,10.64,27.33,8,-109.24,-0.07,8/63,hold,24.41-118.42,30.16,2.0
NVDA,1.48,140.14,9.15,3.48,-15,0.1,0.14,-15/63,buy,51.69-153.13,-1.28,8.0
RZLT,1.7,5.43,3.07,8.16,-15,0.01,0.01,-15/63,buy,0.9-6.186,9.58,12.0
VST,1.73,163.37,0.06,13.99,-12,3.51,2.82,-12/63,buy,38.08-168.67,1.05,3.0
AGX,1.92,150.13,4.54,17.84,-7,1.08,0.94,-7/63,strongBuy,43.44-165.33,-5.66,9.0
USAP,1.95,44.0,0.34,4.49,-3,0.38,0.73,-3/63,hold,17.02-45.3,-0.61,3.0
SEI,2.13,29.29,22.85,41.42,10,-0.03,-0.19,10/63,buy,6.59-32.61,20.75,10.0
MMYT,2.17,112.9,4.48,7.91,-6,0.05,0.16,-6/63,strongBuy,44.74-123.0,3.69,8.0
CURV,2.18,5.67,29.34,31.04,8,-0.03,-1.28,8/63,hold,2.18-9.14,30.16,38.0
QFIN,2.23,36.83,3.56,9.62,-6,3.92,0.46,-6/63,buy,13.71-40.311,6.24,9.0
RDW,2.27,16.81,23.92,43.31,11,-0.09,-1.87,11/63,buy,2.68-18.54,21.65,9.0
CXDO,2.27,5.7,11.3,6.78,-9,0.03,0.46,-9/63,buy,2.92-7.59,8.07,25.0
NTRA,2.31,170.4,2.18,14.12,-5,0.71,1.12,-5/63,buy,59.8-175.63,1.84,3.0
HNST,2.31,6.51,13.76,34.03,-5,0.12,2.45,-5/63,buy,2.4-8.97,-25.19,27.0
TSSI,2.37,12.61,20.66,39.75,4,0,0,4/63,,0.24-14.49,41.4,13.0
QTWO,2.47,98.54,5.35,10.66,3,0.14,0.42,3/63,buy,40.6-112.82,-7.95,13.0
TLN,2.48,212.71,8.44,10.27,-2,8.74,7.7,-2/63,buy,62.86-230.89,-0.7,8.0
SLQT,2.54,4.14,27.24,35.82,10,-0.08,-0.48,10/63,buy,1.03-4.55,30.92,9.0
EOSE,2.63,5.39,20.75,31.73,6,-0.73,-4.72,6/63,buy,0.61-6.01,49.91,10.0
BBAR,2.67,22.96,26.75,37.02,15,-0.29,-0.64,15/63,buy,4.63-25.01,27.92,8.0
BLFS,2.69,27.11,12.37,8.37,-3,0.07,1.08,-3/63,buy,14.5-28.88,4.06,6.0
DUOT,2.76,7.19,23.38,48.57,11,-0.03,-0.02,11/63,buy,2.025-8.53,36.3,16.0
VITL,2.81,37.6,7.65,0.65,-4,0.2,1.15,-4/63,buy,14.16-48.41,19.04,22.0
CLBT,2.86,21.96,1.44,10.0,2,0.1,1.5,2/63,buy,7.91-22.91,10.2,4.0
RSI,2.92,14.74,19.99,16.2,-9,0.1,39.11,-9/63,buy,3.56-14.9452,9.63,1.0
DAVE,2.99,85.77,2.34,41.03,-5,0.92,1.54,-5/63,buy,8.533-108.496,-0.57,21.0
SPOT,3.08,463.93,19.11,11.63,2,0.11,0.19,2/63,buy,191.88-506.473,-2.39,8.0
