BTC-USD,-0.11,102435.78,3.14,3.2,-4,1,1,-4/32,,38521.895-108268.445,1.17,5.0
NKLA,-0.01,1.63,25.64,11.32,-7,-0.4,-0.18,-7/20,hold,1.08-34.5,1,95.0
GEV,0.77,369.45,19.1,11.59,0,-0.26,-1.17,0/20,buy,119.0-376.295,1,2.0
MNSO,0.77,24.63,1.26,5.82,2,-0.01,-0.01,2/20,buy,12.51-27.71,1,11.0
WLFC,0.83,217.89,33.43,11.42,-1,-0.07,-0.33,-1/20,,45.32-235.43,1,7.000000000000001
CANG,0.86,5.0,19.78,36.14,0,-1.61,-2.37,0/20,,0.96-9.66,1,48.0
SEDG,0.9,18.2,6.63,64.88,1,-13.92,-8.52,1/20,hold,10.24-87.98,1,79.0
MEGL,0.9,0.91,11.58,122.66,-1,0,0,-1/20,,0.407-1.38,1,34.0
SEI,0.97,31.25,30.54,29.88,0,-0.03,-0.19,0/20,buy,6.59-32.61,1,4.0
BOXL,1.28,1.24,8.36,299.76,-2,-0.09,-0.92,-2/20,strongBuy,0.303-1.85,1,33.0
FMCKJ,1.32,12.11,2.69,19.38,6,0,0,6/20,,2.84-12.27,1,1.0
LFVN,1.45,17.15,20.01,29.36,5,-0.07,-0.33,5/20,buy,5.22-19.06,1,10.0
IPX,1.5,32.19,25.55,22.49,5,0,0,5/20,buy,9.46-38.93,1,17.0
PRAX,1.64,77.74,27.54,18.77,6,-0.22,-0.16,6/20,buy,26.11-86.93,1,11.0
QS,1.65,6.68,49.08,51.59,3,-0.11,-0.57,3/20,hold,4.65-9.66,1,31.0
PRTH,1.66,11.89,43.09,39.02,4,-0.13,-3.33,4/20,buy,2.819-12.435,1,4.0
BBAR,1.75,23.28,18.41,51.83,7,-0.29,-0.64,7/20,buy,4.63-24.29,1,4.0
QBTS,1.79,9.38,19.35,138.91,5,-0.06,-0.71,5/20,strongBuy,0.681-11.41,1,18.0
IONQ,1.79,49.35,20.8,55.29,7,-0.2,-1.75,7/20,buy,6.22-51.4395,1,4.0
BMA,1.81,117.08,32.26,52.04,6,-109.24,-0.07,6/20,hold,24.41-118.415,1,1.0
SUPV,1.87,17.98,15.57,61.01,8,-0.04,-0.3,8/20,hold,3.329-18.3,1,2.0
TSSI,1.89,13.96,17.89,58.95,8,0,0,8/20,,0.24-14.49,1,4.0
