CRVS,-3.09,5.44,13.64,8.91,-11,-0.43,-3.61,-11/64,buy,1.3-10.0,-54.41,46.0
CORZ,-2.01,14.19,1.93,10.8,-12,-0.28,-4.62,-12/64,buy,2.61-18.629,-16.11,24.0
PRAX,-0.87,78.02,7.89,13.67,-10,-0.22,-0.16,-10/64,buy,23.54-86.93,6.75,10.0
AVPT,-0.75,16.46,1.91,17.65,-4,-0.03,-1.35,-4/64,buy,7.08-19.161,-0.67,14.000000000000002
LCID,-0.58,3.12,9.17,0.17,-19,-0.01,-0.05,-19/64,hold,1.93-4.43,32.58,30.0
EUDA,-0.49,4.49,15.58,12.28,-8,0,0,-8/64,,1.2-6.3,3.34,28.999999999999996
RIVN,-0.39,13.73,2.45,15.26,-13,-0.04,-0.06,-13/64,hold,8.26-20.295,25.93,32.0
CMPO,-0.37,15.52,14.05,6.23,-1,-0.01,-0.02,-1/64,buy,4.61-17.03,1.55,9.0
GEV,0.24,334.48,19.77,14.61,5,-0.26,-1.17,5/64,buy,119.0-357.09,-1.58,6.0
WLFC,0.4,209.04,33.43,18.73,-6,-0.07,-0.33,-6/64,,45.32-235.43,8.58,11.0
INOD,0.45,39.8,5.88,59.35,4,0,0,4/64,strongBuy,5.46-55.17,-12.26,28.000000000000004
GGAL,0.49,65.29,1.62,22.41,10,0,0,10/64,buy,15.32-70.3,12.66,7.000000000000001
PRTH,0.51,11.85,4.74,38.25,-6,-0.13,-3.33,-6/64,buy,2.819-12.435,24.22,5.0
TECX,0.56,46.49,16.0,23.39,2,0,0,2/64,buy,1.4-53.41,12.12,13.0
SGMO,0.59,1.04,11.11,38.86,-3,0.08,2.0,-3/64,hold,0.3-3.18,-87.92,67.0
FTAI,0.64,145.97,2.0,5.63,-16,0.41,0.87,-16/64,buy,44.79-177.18,-17.16,18.0
PONY,0.73,14.88,28.24,33.93,2,0,0,2/24,strongBuy,11.9-16.32,1,9.0
ZLAB,0.97,24.88,2.91,0.71,-19,0.27,0.34,-19/64,buy,13.48-36.6,-5.1,32.0
FNMA,0.97,3.43,25.86,63.39,-6,0.0,0.0,-6/64,strongBuy,0.93-3.65,1.17,6.0
BMA,0.97,102.76,7.69,23.83,8,-109.24,-0.07,8/64,hold,24.41-109.36,21.32,6.0
TATT,0.98,26.78,6.35,23.74,14,0,0,14/64,buy,10.43-27.69,11.99,3.0
^RUT,0.99,2250.47,0.9,1.45,-18,1,1,-18/64,,1898.24-2466.49,-3.3,9.0
KINS,1.33,15.25,23.54,29.6,7,0,0,7/64,buy,2.165-18.08,12.85,16.0
WAVE,1.4,12.23,15.28,57.29,-5,0,0,-5/64,,1.01-17.63,32.72,31.0
NVDA,1.51,137.07,10.51,7.59,-14,0.1,0.14,-14/64,buy,47.508-152.89,-7.24,10.0
CL=F,1.56,73.27,4.41,2.75,-16,1,1,-16/64,,65.27-87.67,5.3,16.0
CVNA,1.6,208.93,5.81,9.68,-4,1.34,6.93,-4/64,hold,40.209-268.339,-19.38,22.0
NN,1.64,15.6,26.49,36.97,15,-0.03,-0.18,15/64,buy,3.55-18.538,-3.91,16.0
GC=F,1.75,2665.0,6.58,0.49,-11,1,1,-11/64,,1984.8-2789.0,1.42,4.0
AGX,1.77,138.75,4.04,15.66,-8,1.08,0.94,-8/64,strongBuy,43.44-165.33,-7.27,16.0
^GSPC,1.82,5883.1,1.35,1.52,-6,1,1,-6/64,,4682.11-6099.97,-0.58,4.0
FNMAH,1.86,9.22,13.65,57.44,11,0,0,11/64,,2.61-9.7,8.35,5.0
TLN,1.89,210.24,5.83,10.19,-10,8.74,7.7,-10/64,buy,60.51-230.89,-2.12,9.0
