ALG,0.02,175.27,80.04,-11.68,-1,0.03,0.02,-1/11,buy,157.07-205.62,-7.22,15.0,210.0,204.0,- +Buy time -,104.35 thousand,Industrials,Farm & Heavy Construction Machinery,1.0,181.06,216.22,1.03,0.81,0.06
SNDA,0.03,24.15,103.33,5.61,-3,1,1,-3/11,hold,19.34-34.19,1.37,28.999999999999996,25.0,25.0,- +Buy time -,30.66 thousand,Healthcare,Medical Care Facilities,1.284,23.79,28.33,0.99,0.85,0.09
GUT,0.04,5.27,43.3,-0.57,-1,1,1,-1/11,,4.71-6.25,0.74,16.0,0.1,0.1,== less Sell ALL==,282.57 thousand,Financial Services,Asset Management,0.587,5.3,6.42,1.01,0.82,0.37
TASK,0.05,13.66,131.39,-49.01,-1,0.02,0.07,-1/11,buy,10.57-19.6,-0.29,30.0,21.0,19.75,Buy time,484.94 thousand,Technology,Information Technology Services,2.171,14.59,17.47,1.07,0.78,0.17
UTZ,0.06,11.92,137.13,-27.49,-1,0.04,0.18,-1/11,buy,11.705-19.95,-13.09,40.0,20.0,18.61,Sell ALL,1.21 million,Consumer Defensive,Packaged Foods,1.108,13.71,16.27,1.15,0.73,0.28
SLNG,0.08,5.9,-36.83,30.53,-6,0,0,-6/11,strongBuy,3.71-8.28,14.07,28.999999999999996,12.0,11.25,Buy time,25.35 thousand,Energy,Oil & Gas Integrated,0.457,5.68,7.13,0.96,0.83,1.05
ALLO,0.08,1.7,51.64,65.38,-7,0.1,0.33,-7/11,buy,1.23-3.78,0.59,55.00000000000001,14.0,11.59,Buy time,3.27 million,Healthcare,Biotechnology,0.987,1.75,2.09,1.03,0.81,0.12
WY,0.08,26.29,110.84,-35.05,0,0.05,0.73,0/11,strongBuy,24.1-34.03,-13.77,23.0,38.0,36.12,Buy time,3.75 million,Real Estate,REIT - Specialty,1.272,28.97,34.69,1.1,0.76,0.35
SHOC,0.09,41.63,103.08,-22.65,0,1,1,0/11,,31.89-54.67,-3.72,24.0,0.1,0.1,Buy,25.69 thousand,N/A,N/A,1,42.73,51.67,1.03,0.81,0.31
UI,0.1,339.97,56.13,-32.16,-1,0.65,0.37,-1/11,strongBuy,110.32-469.98,5.82,28.000000000000004,440.0,385.5,- +Buy time -,118.56 thousand,Technology,Communication Equipment,1.309,339.44,406.79,1.0,0.84,-0.05
