TG,-0.72,7.68,3.75,4.53,-6,0,0,-6/64,,3.98-9.22,7.81,17.0
IBKR,0.01,179.07,10.14,12.66,2,-0.05,-0.03,2/64,buy,82.26-193.42,-0.51,7.000000000000001
HCI,0.27,116.36,9.53,5.8,-10,0.56,0.0,-10/64,buy,81.35-126.5,3.76,8.0
INTU,1.01,632.36,2.33,1.48,-15,0.28,0.13,-15/64,buy,557.29-714.78,-8.78,12.0
BLK,1.83,1031.34,0.84,4.37,-6,1.55,0.15,-6/64,buy,745.55-1082.45,-1.05,5.0
OKTA,2.03,79.95,0.41,4.06,-8,0.2,0.32,-8/64,hold,70.56-114.5,7.87,30.0
NVDA,2.14,139.32,11.81,7.36,-11,0.1,0.14,-11/64,buy,47.32-152.89,-1.9,9.0
SPY,2.15,590.68,1.46,1.64,-2,1,1,-2/64,,466.43-609.07,1.17,3.0
MA,2.31,528.03,3.38,3.39,-2,0.22,0.06,-2/64,buy,416.53-537.7,1.16,2.0
Sony,2.53,21.32,3.22,5.21,-7,0.15,0.64,-7/64,buy,15.022-22.71,13.4,6.0
SCHW,2.78,73.91,5.22,6.88,9,0.03,0.04,9/64,hold,59.67-83.35,-9.11,11.0
NDAQ,2.91,77.59,9.27,3.2,3,0.1,0.14,3/64,strongBuy,54.9-83.77,-1.21,7.000000000000001
CRM,3.06,337.45,5.01,10.75,4,0.16,0.07,4/64,buy,212.0-369.0,3.72,9.0
DOCU,3.08,92.21,0.85,21.27,-2,0.19,0.23,-2/64,hold,48.7-107.86,14.2,15.0
CRWD,3.09,351.1,7.2,11.67,2,0.19,0.23,2/64,buy,200.81-398.327,4.09,12.0
GOOGL,3.09,192.18,8.86,7.58,-3,0.31,0.17,-3/64,buy,130.67-201.42,10.35,5.0
SNOW,3.48,154.88,7.17,17.14,-4,0.07,0.45,-4/64,buy,107.13-237.72,18.67,35.0
V,3.51,316.72,4.21,6.92,14,0.13,0.05,14/64,buy,252.7-321.62,2.24,2.0
WMT,3.55,90.94,11.76,5.95,4,0.07,0.13,4/64,buy,51.86667-96.18,7.56,5.0
AMZN,3.57,222.34,10.0,8.93,4,0.52,0.48,4/64,buy,144.05-233.0,8.87,5.0
AAPL,3.9,253.2,7.56,4.2,12,0.08,0.07,12/64,buy,164.08-260.1,11.14,3.0
GME,3.92,31.89,8.63,17.71,2,0.19,4.12,2/64,sell,9.95-64.83,16.61,51.0
TEAM,3.99,248.03,9.38,22.94,11,0.18,0.28,11/64,buy,135.29-287.97,3.22,14.000000000000002
AI,4.03,35.45,4.36,21.54,2,0.18,1.26,2/64,hold,18.85-45.08,26.69,21.0
PLTR,5.87,78.1,14.15,38.23,21,0.02,0.21,21/64,hold,15.664-84.797,15.79,8.0
QBTS,7.15,9.45,6.54,134.83,16,-0.06,-0.71,16/64,strongBuy,0.681-11.41,82.65,17.0
IONQ,7.22,44.96,50.81,90.32,23,-0.2,-1.75,23/64,buy,6.22-48.56,35.18,7.000000000000001
RGTI,12.74,17.45,64.99,181.68,21,-0.05,-0.81,21/64,buy,0.66-19.35,91.92,10.0
